06/02/2004 15:16:44,admin.skins.asp,LoadSkinsInMemory,INFO,Load skins,,/fullxml4/Default.asp?,
06/02/2004 15:17:47,XmlUtilities.asp,UpdateNode,INFO,A Node is inserted in : C:\fullxml4\webroot\db\users.xml.asp,/users,/fullxml4/admin.asp?action=edituser,process=do_insert_user&email=guest&password=guest&group=member&culture=en-gb&screenname=guest&firstname=&lastname=&address1=&address2=&city=&zipcode=&phone=&signature=
06/02/2004 15:17:47,XmlUtilities.asp,UpdateNode,INFO,A Node is updated in C:\fullxml4\webroot\db\users\guest.xml.asp,/user,/fullxml4/admin.asp?action=edituser,process=do_insert_user&email=guest&password=guest&group=member&culture=en-gb&screenname=guest&firstname=&lastname=&address1=&address2=&city=&zipcode=&phone=&signature=
06/02/2004 15:27:21,XmlUtilities.asp,DeleteNode,INFO,XML Nodes are deleted,file:///C:/fullxml4/webroot/db/website.xml.asp,/fullxml4/admin.asp?action=editpage_permissions&pID={a4773c12-6b3d-4e4a-8e95-77e0405486df}&mID=samples,process=do_insertupdate_objectpermissions&xpath=%2Fwebsite%2Fmenus%2Fmenu%5B@id%3D%27samples%27%5D%2F%2Fpage%5B@id%3D%27%7Ba4773c12-6b3d-4e4a-8e95-77e0405486df%7D%27%5D&member=2&anonymous=1
06/02/2004 15:27:21,XmlUtilities.asp,UpdateNode,INFO,A Node is inserted in : file:///C:/fullxml4/webroot/db/website.xml.asp,/website/menus/menu[@id='samples']//page[@id='{a4773c12-6b3d-4e4a-8e95-77e0405486df}'],/fullxml4/admin.asp?action=editpage_permissions&pID={a4773c12-6b3d-4e4a-8e95-77e0405486df}&mID=samples,process=do_insertupdate_objectpermissions&xpath=%2Fwebsite%2Fmenus%2Fmenu%5B@id%3D%27samples%27%5D%2F%2Fpage%5B@id%3D%27%7Ba4773c12-6b3d-4e4a-8e95-77e0405486df%7D%27%5D&member=2&anonymous=1
06/02/2004 15:27:21,XmlUtilities.asp,UpdateNode,INFO,A Node is inserted in : file:///C:/fullxml4/webroot/db/website.xml.asp,/website/menus/menu[@id='samples']//page[@id='{a4773c12-6b3d-4e4a-8e95-77e0405486df}'],/fullxml4/admin.asp?action=editpage_permissions&pID={a4773c12-6b3d-4e4a-8e95-77e0405486df}&mID=samples,process=do_insertupdate_objectpermissions&xpath=%2Fwebsite%2Fmenus%2Fmenu%5B@id%3D%27samples%27%5D%2F%2Fpage%5B@id%3D%27%7Ba4773c12-6b3d-4e4a-8e95-77e0405486df%7D%27%5D&member=2&anonymous=1
06/02/2004 15:30:49,XmlUtilities.asp,DeleteNode,INFO,XML Nodes are deleted,file:///C:/fullxml4/webroot/db/website.xml.asp,/fullxml4/admin.asp?action=editmenu_permissions&mID=main,process=do_insertupdate_objectpermissions&xpath=%2Fwebsite%2Fmenus%2Fmenu%5B@id%3D%27main%27%5D&member=1&anonymous=1
06/02/2004 15:30:49,XmlUtilities.asp,UpdateNode,INFO,A Node is inserted in : file:///C:/fullxml4/webroot/db/website.xml.asp,/website/menus/menu[@id='main'],/fullxml4/admin.asp?action=editmenu_permissions&mID=main,process=do_insertupdate_objectpermissions&xpath=%2Fwebsite%2Fmenus%2Fmenu%5B@id%3D%27main%27%5D&member=1&anonymous=1
06/02/2004 15:30:49,XmlUtilities.asp,UpdateNode,INFO,A Node is inserted in : file:///C:/fullxml4/webroot/db/website.xml.asp,/website/menus/menu[@id='main'],/fullxml4/admin.asp?action=editmenu_permissions&mID=main,process=do_insertupdate_objectpermissions&xpath=%2Fwebsite%2Fmenus%2Fmenu%5B@id%3D%27main%27%5D&member=1&anonymous=1
06/02/2004 16:24:10,admin.modules.asp,Do_Create_Modules_XMLFile,INFO,BEGIN modules loading.,,/fullxml4/admin.asp?action=modules,process=do_create_moduleslist&modules=dbms&modules=navigation&modules=poll&modules=search&modules=website
06/02/2004 16:24:10,admin.modules.asp,Do_Create_Modules_XMLFile,INFO,Module dbms detected.,,/fullxml4/admin.asp?action=modules,process=do_create_moduleslist&modules=dbms&modules=navigation&modules=poll&modules=search&modules=website
06/02/2004 16:24:10,admin.modules.asp,Do_Create_Modules_XMLFile,INFO,Module navigation detected.,,/fullxml4/admin.asp?action=modules,process=do_create_moduleslist&modules=dbms&modules=navigation&modules=poll&modules=search&modules=website
06/02/2004 16:24:10,admin.modules.asp,Do_Create_Modules_XMLFile,INFO,Module poll detected.,,/fullxml4/admin.asp?action=modules,process=do_create_moduleslist&modules=dbms&modules=navigation&modules=poll&modules=search&modules=website
06/02/2004 16:24:10,admin.modules.asp,Do_Create_Modules_XMLFile,INFO,Module search detected.,,/fullxml4/admin.asp?action=modules,process=do_create_moduleslist&modules=dbms&modules=navigation&modules=poll&modules=search&modules=website
06/02/2004 16:24:11,admin.modules.asp,Do_Create_Modules_XMLFile,INFO,Module website detected.,,/fullxml4/admin.asp?action=modules,process=do_create_moduleslist&modules=dbms&modules=navigation&modules=poll&modules=search&modules=website
06/02/2004 16:24:11,admin.modules.asp,Do_Create_Modules_XMLFile,INFO,Module system detected.,,/fullxml4/admin.asp?action=modules,process=do_create_moduleslist&modules=dbms&modules=navigation&modules=poll&modules=search&modules=website
06/02/2004 16:24:11,admin.modules.asp,Do_Create_Modules_XMLFile,INFO,END modules loading.,,/fullxml4/admin.asp?action=modules,process=do_create_moduleslist&modules=dbms&modules=navigation&modules=poll&modules=search&modules=website
